"donor_regime","barrier_mode","recipient_genotype","emmean","SE","df","lower.CL","upper.CL"
"P_Replete","M0_Solid","WT",14.8129166666676,0.632979370021588,16.7768162919679,13.4760923099154,16.1497410234198
"P_Starved","M0_Solid","WT",15.2383333333336,0.632979370021591,16.7768162919684,13.9015089765814,16.5751576900858
"P_Starved_Tis108","M0_Solid","WT",15.2920833333336,0.632979370021593,16.7768162919685,13.9552589765814,16.6289076900859
"P_Replete","M1_Membrane","WT",15.7604166666669,0.632979370021592,16.7768162919684,14.4235923099147,17.0972410234192
"P_Starved","M1_Membrane","WT",35.595416666667,0.632979370021592,16.7768162919687,34.2585923099148,36.9322410234192
"P_Starved_Tis108","M1_Membrane","WT",17.0112500000003,0.632979370021591,16.7768162919685,15.6744256432481,18.3480743567526
"P_Replete","M2_Mesh","WT",18.366666666667,0.632979370021591,16.7768162919683,17.0298423099147,19.7034910234192
"P_Starved","M2_Mesh","WT",54.8100000000003,0.632979370021592,16.7768162919687,53.4731756432481,56.1468243567526
"P_Starved_Tis108","M2_Mesh","WT",21.9120833333337,0.632979370021591,16.7768162919686,20.5752589765814,23.2489076900859
"P_Replete","M0_Solid","Tad14_mutant",15.9104166666669,0.632979370021588,16.7768162919679,14.5735923099147,17.2472410234192
"P_Starved","M0_Solid","Tad14_mutant",14.4270833333336,0.632979370021591,16.7768162919686,13.0902589765814,15.7639076900859
"P_Starved_Tis108","M0_Solid","Tad14_mutant",14.764166666667,0.632979370021592,16.7768162919686,13.4273423099148,16.1009910234192
"P_Replete","M1_Membrane","Tad14_mutant",14.6600000000003,0.632979370021591,16.7768162919685,13.3231756432481,15.9968243567526
"P_Starved","M1_Membrane","Tad14_mutant",16.3758333333337,0.632979370021592,16.7768162919686,15.0390089765814,17.7126576900859
"P_Starved_Tis108","M1_Membrane","Tad14_mutant",15.050416666667,0.632979370021591,16.7768162919685,13.7135923099148,16.3872410234192
"P_Replete","M2_Mesh","Tad14_mutant",16.3258333333336,0.632979370021591,16.7768162919685,14.9890089765814,17.6626576900859
"P_Starved","M2_Mesh","Tad14_mutant",22.9758333333337,0.632979370021591,16.7768162919687,21.6390089765814,24.3126576900859
"P_Starved_Tis108","M2_Mesh","Tad14_mutant",16.4833333333337,0.632979370021591,16.7768162919685,15.1465089765814,17.8201576900859
