# PROVENANCE: AREIL-PROJECT-01-MICROCOSM-DATA
# SYSTEM: 4-Block Factorial Partitioned Rhizobox Microcosm Trial
# POPULATION: Triticum aestivum (cv. Bobwhite WT vs. Tad14 mutant) + Rhizophagus irregularis
# DESIGN: RCBD 4 Blocks x 3 Donor Regimes x 3 Barrier Modes x 2 Recipient Genotypes x 6 Replicates (N=432)
# DATE: 2026-09-05
observation_id,block,donor_regime,barrier_mode,recipient_genotype,replicate,rhizosphere_sl_pmol_g,am_colonization_pct,arbuscule_abundance_pct,tapt4_relative_expression,shoot_phosphorus_mg_g,root_phosphorus_mg_g
OBS_0001,1,P_Starved,M0_Solid,WT,1,0.231,15.29,10.93,1.11,3.225,2.074
OBS_0002,1,P_Starved,M0_Solid,WT,2,0.213,18.11,13.59,0.72,3.009,1.914
OBS_0003,1,P_Starved,M0_Solid,WT,3,0.275,14.63,9.41,0.28,2.766,1.714
OBS_0004,1,P_Starved,M0_Solid,WT,4,0.136,11.64,7.72,1.39,2.84,1.852
OBS_0005,1,P_Starved,M0_Solid,WT,5,0.227,12.58,9.12,0.48,2.973,1.879
OBS_0006,1,P_Starved,M0_Solid,WT,6,0.152,12.44,9.87,0.88,2.657,1.793
OBS_0007,1,P_Starved,M0_Solid,Tad14_mutant,1,0.264,14.54,9.33,0.42,2.933,1.972
OBS_0008,1,P_Starved,M0_Solid,Tad14_mutant,2,0.335,13.7,9.7,0.36,2.732,1.738
OBS_0009,1,P_Starved,M0_Solid,Tad14_mutant,3,0.299,14.89,9.67,0.99,2.805,1.766
OBS_0010,1,P_Starved,M0_Solid,Tad14_mutant,4,0.328,16.68,12.63,0.59,2.822,1.862
OBS_0011,1,P_Starved,M0_Solid,Tad14_mutant,5,0.358,12.75,9.09,0.49,2.627,1.771
OBS_0012,1,P_Starved,M0_Solid,Tad14_mutant,6,0.373,13.81,10.5,1.01,2.748,1.816
OBS_0013,1,P_Starved,M1_Membrane,WT,1,6.206,33.31,26.07,3.11,3.941,2.572
OBS_0014,1,P_Starved,M1_Membrane,WT,2,6.063,33.64,21.55,3.95,3.839,2.665
OBS_0015,1,P_Starved,M1_Membrane,WT,3,6.734,31.3,21.91,4.35,3.832,2.43
OBS_0016,1,P_Starved,M1_Membrane,WT,4,5.449,33.65,25.53,3.78,3.688,2.354
OBS_0017,1,P_Starved,M1_Membrane,WT,5,6.127,34.17,24.96,4.03,3.708,2.253
OBS_0018,1,P_Starved,M1_Membrane,WT,6,6.513,32.51,22.36,3.97,3.849,2.72
OBS_0019,1,P_Starved,M1_Membrane,Tad14_mutant,1,8.001,15.27,10.95,0.23,2.854,1.86
OBS_0020,1,P_Starved,M1_Membrane,Tad14_mutant,2,6.889,14.1,10.32,0.89,2.603,1.781
OBS_0021,1,P_Starved,M1_Membrane,Tad14_mutant,3,7.824,16.66,11.39,1.39,2.552,1.703
OBS_0022,1,P_Starved,M1_Membrane,Tad14_mutant,4,6.445,12.02,8.39,0.93,2.749,1.659
OBS_0023,1,P_Starved,M1_Membrane,Tad14_mutant,5,6.191,11.84,8.75,0.58,3.201,2.005
OBS_0024,1,P_Starved,M1_Membrane,Tad14_mutant,6,6.52,16.72,11.21,0.98,3.148,1.894
OBS_0025,1,P_Starved,M2_Mesh,WT,1,8.073,53.68,40.33,6.8,4.509,3.002
OBS_0026,1,P_Starved,M2_Mesh,WT,2,7.314,53.65,39.37,6.99,4.851,3.196
OBS_0027,1,P_Starved,M2_Mesh,WT,3,8.44,57.85,42.75,6.81,4.944,3.069
OBS_0028,1,P_Starved,M2_Mesh,WT,4,9.273,56.01,38.49,7.57,4.891,3.3
OBS_0029,1,P_Starved,M2_Mesh,WT,5,8.106,52.36,36.12,6.92,4.621,2.993
OBS_0030,1,P_Starved,M2_Mesh,WT,6,9.89,53.72,40.46,7.23,5.12,3.287
OBS_0031,1,P_Starved,M2_Mesh,Tad14_mutant,1,8.386,23.23,15.93,0.63,3.196,2.056
OBS_0032,1,P_Starved,M2_Mesh,Tad14_mutant,2,8.492,22.83,16.37,0.7,2.757,1.755
OBS_0033,1,P_Starved,M2_Mesh,Tad14_mutant,3,7.965,22.16,14.85,1.06,3.175,1.979
OBS_0034,1,P_Starved,M2_Mesh,Tad14_mutant,4,8.64,21.75,14.67,1.13,3.213,2.193
OBS_0035,1,P_Starved,M2_Mesh,Tad14_mutant,5,10.74,18.02,12.3,1.18,3.203,2.131
OBS_0036,1,P_Starved,M2_Mesh,Tad14_mutant,6,8.419,23.08,17.67,1.33,3.233,2.071
OBS_0037,1,P_Replete,M0_Solid,WT,1,0.101,11.99,8.52,0.71,2.908,2.092
OBS_0038,1,P_Replete,M0_Solid,WT,2,0.164,15.78,10.35,0.71,3.13,2.04
OBS_0039,1,P_Replete,M0_Solid,WT,3,0.198,12.14,9.07,0.62,2.938,1.913
OBS_0040,1,P_Replete,M0_Solid,WT,4,0.318,19.57,14.59,0.17,2.931,1.847
OBS_0041,1,P_Replete,M0_Solid,WT,5,0.223,11.94,8.54,1.06,3.08,1.891
OBS_0042,1,P_Replete,M0_Solid,WT,6,0.323,12.77,8.86,1.5,2.979,1.824
OBS_0043,1,P_Replete,M0_Solid,Tad14_mutant,1,0.193,19.52,14.86,0.35,2.783,1.915
OBS_0044,1,P_Replete,M0_Solid,Tad14_mutant,2,0.168,15.15,11.38,0.56,2.877,1.59
OBS_0045,1,P_Replete,M0_Solid,Tad14_mutant,3,0.26,13.34,8.94,1.45,2.575,1.64
OBS_0046,1,P_Replete,M0_Solid,Tad14_mutant,4,0.287,17.75,11.76,1.29,2.892,1.795
OBS_0047,1,P_Replete,M0_Solid,Tad14_mutant,5,0.303,14.52,10.1,0.9,2.805,1.833
OBS_0048,1,P_Replete,M0_Solid,Tad14_mutant,6,0.297,18.12,12.15,1.63,2.461,1.588
OBS_0049,1,P_Replete,M1_Membrane,WT,1,0.505,15.03,10.45,0.86,2.812,1.778
OBS_0050,1,P_Replete,M1_Membrane,WT,2,0.483,15.23,10.54,1.24,2.988,2.015
OBS_0051,1,P_Replete,M1_Membrane,WT,3,0.432,12.14,8.47,1.19,3.054,1.983
OBS_0052,1,P_Replete,M1_Membrane,WT,4,0.53,17.62,12.27,1.12,2.876,1.85
OBS_0053,1,P_Replete,M1_Membrane,WT,5,0.389,16.45,12.38,1.39,2.925,1.961
OBS_0054,1,P_Replete,M1_Membrane,WT,6,0.629,15.14,10.82,0.96,3.051,1.908
OBS_0055,1,P_Replete,M1_Membrane,Tad14_mutant,1,0.483,11.08,7.44,1.31,3.034,2.029
OBS_0056,1,P_Replete,M1_Membrane,Tad14_mutant,2,0.405,13.67,9.35,0.93,2.711,1.841
OBS_0057,1,P_Replete,M1_Membrane,Tad14_mutant,3,0.444,11.55,8.17,1.04,2.736,1.711
OBS_0058,1,P_Replete,M1_Membrane,Tad14_mutant,4,0.279,14.34,10.03,0.74,2.911,1.766
OBS_0059,1,P_Replete,M1_Membrane,Tad14_mutant,5,0.404,11.83,8.42,1.01,3.185,2.152
OBS_0060,1,P_Replete,M1_Membrane,Tad14_mutant,6,0.337,13.65,9.28,0.89,2.796,1.845
OBS_0061,1,P_Replete,M2_Mesh,WT,1,0.432,17.25,13.48,1.02,3.148,2.112
OBS_0062,1,P_Replete,M2_Mesh,WT,2,0.54,16.48,11.88,1.09,2.89,1.881
OBS_0063,1,P_Replete,M2_Mesh,WT,3,0.502,19.67,14.92,1.81,2.891,1.955
OBS_0064,1,P_Replete,M2_Mesh,WT,4,0.417,21.59,14.85,0.77,2.928,1.717
OBS_0065,1,P_Replete,M2_Mesh,WT,5,0.411,13.93,10.11,1.18,3.473,2.356
OBS_0066,1,P_Replete,M2_Mesh,WT,6,0.424,13.56,10.03,0.6,3.463,2.373
OBS_0067,1,P_Replete,M2_Mesh,Tad14_mutant,1,0.408,10.35,8.01,0.96,3.362,2.025
OBS_0068,1,P_Replete,M2_Mesh,Tad14_mutant,2,0.463,14.81,10.69,0.84,3.227,1.994
OBS_0069,1,P_Replete,M2_Mesh,Tad14_mutant,3,0.633,15.11,11.19,1.25,2.843,1.717
OBS_0070,1,P_Replete,M2_Mesh,Tad14_mutant,4,0.488,15.66,10.81,1.54,3.115,2.135
OBS_0071,1,P_Replete,M2_Mesh,Tad14_mutant,5,0.644,20.16,15.93,0.91,3.304,2.211
OBS_0072,1,P_Replete,M2_Mesh,Tad14_mutant,6,0.235,12.29,9.19,1.37,2.703,1.661
OBS_0073,1,P_Starved_Tis108,M0_Solid,WT,1,0.14,13.3,9.96,1.41,2.906,2.031
OBS_0074,1,P_Starved_Tis108,M0_Solid,WT,2,0.243,9.57,6.87,1.01,2.883,1.695
OBS_0075,1,P_Starved_Tis108,M0_Solid,WT,3,0.165,10.61,7.92,1.01,2.683,1.703
