experiment,role,endpoint,label,estimate,SE,df,statistic,p,CI95_low,CI95_high,method,selected_model,k_hat,k_CI95_low,k_CI95_high,p_Holm_secondary,stim_sessions_events,sham_sessions_events,plants_consistent
E1,PRIMARY,Treatment_Period_min,"Period change per +10 µmol m^-2 s^-1 measured lateral PPFD, baseline-adjusted",-0.1459421248369616,0.0020920111612016475,119.953669962191,-69.76163776924244,5.978052900653544e-99,-0.150084177636575,-0.14180007203734818,LMM random intercept Plant_ID; Satterthwaite df,,,,,,,,
E1,SENSITIVITY,Treatment_Period_min,"PPFD trend adjusted for session order, experimental day, time block and rig/block",-0.1457514192827003,0.002004022247659804,,-72.72944172795559,2.232809006585547e-34,-0.14985010498710755,-0.14165273357829306,Plant fixed effects + design-control covariates + Plant_ID-clustered SE,,,,,,,,
E2,PRIMARY,Delta_Terminal_Azimuth_deg,directional_half_difference,8.526,0.06411508165713178,210.00000012413415,132.9796325550124,1.103218427781814e-204,8.399608349908908,8.652391650091092,LMM Condition × Rotation + random intercept Plant_ID,,,,,,,,
E2,SUPPORTING,Delta_Terminal_Azimuth_deg,HL_minus_LL,8.08366666666667,0.12823016331426357,210.00000011701198,63.040289879810906,2.0722164520134685e-138,7.830883366484437,8.336449966848901,LMM Condition × Rotation + random intercept Plant_ID,,,,,,,,
E2,SUPPORTING,Delta_Terminal_Azimuth_deg,LH_minus_LL,-8.968333333333328,0.12823016331426357,210.00000012881952,-69.93934267520147,1.879301890764141e-147,-9.221116633515479,-8.715550033151178,LMM Condition × Rotation + random intercept Plant_ID,,,,,,,,
E2,SUPPORTING,Delta_Terminal_Azimuth_deg,HH_minus_LL,0.35483333333333555,0.12823016331426357,210.00000013238912,2.7671596460788876,0.0061594829882770895,0.1020500331512102,0.6076166335154609,LMM Condition × Rotation + random intercept Plant_ID,,,,,,,,
E3,PRIMARY,Delta_Terminal_Azimuth_deg,Directional half-difference between C=+0.5 and C=-0.5 at total lateral PPFD=200,11.739663451319561,0.03729351969381608,358,314.79097568970417,0,11.66632154861789,11.813005354021232,Plant fixed-effect likelihood comparison; selected model inference,saturating,1.8843920113327548,1.811313796406632,1.9580732471627211,,,,
E3,SUPPORTING,Total_Lateral_PPFD,Total lateral PPFD coefficient in selected contrast-response model (per 100 PPFD),0.28839016430214504,0.06394072205978434,358,4.510273813181236,8.788733745336389e-6,0.1626435398353512,0.4141367887689389,Selected E3 plant fixed-effect model,,,,,,,,
E4,PRIMARY,Median_Tracking_Error_deg,Strong_minus_Free,10.974999999999996,0.17367908358858494,89.99999997600325,63.191259265265536,2.3688605240747622e-76,10.62995618638054,11.320043813619453,LMM random intercept Plant_ID,,,,,,,,
E4,SUPPORTING,Median_Tracking_Error_deg,Sham_minus_Free,0.3736666666666616,0.17367908358858494,89.99999997825907,2.1514776503071142,0.03411662649111091,0.02862285304732276,0.7187104802860005,LMM random intercept Plant_ID,,,,,0.03411662649111091,,,
E4,SUPPORTING,Median_Tracking_Error_deg,Moderate_minus_Free,6.2449999999999966,0.17367908358858494,89.99999997825907,35.95712201472284,3.4915522521468996e-55,5.899956186380658,6.590043813619335,LMM random intercept Plant_ID,,,,,6.9831045042937993e-55,,,
E4,SUPPORTING,Median_Tracking_Error_deg,Tracking error per +1 percentage point achieved natural amplitude,-0.1302526374960689,0.0019278402923051784,,-67.56401866687919,1.868217252330938e-33,-0.13419551360718923,-0.1263097613849486,Plant fixed effects + Plant_ID-clustered SE,,,,,,,,
E5,PRIMARY,Terminal_Orientation_Change_deg,Structured_minus_Static,8.133333333333331,0.193951304711782,90.00000011944947,41.93492456995703,7.376429969153022e-61,7.748015214133122,8.51865145253354,LMM random intercept Plant_ID,,,,,,,,
E5,SUPPORTING,Terminal_Orientation_Change_deg,Structured_minus_Scrambled,4.983999999999998,0.19395130471178204,90.0000001189256,25.697171810245795,3.198114872659882e-43,4.5986818807997585,5.369318119200238,LMM random intercept Plant_ID,,,,,6.396229745319764e-43,,,
E5,SUPPORTING,Terminal_Orientation_Change_deg,Common_minus_Static,0.8519999999999996,0.193951304711782,90.00000011872781,4.392855213147958,3.0471295006941862e-5,0.4666818807997487,1.2373181192002507,LMM random intercept Plant_ID,,,,,3.0471295006941862e-5,,,
E5,SUPPORTING,Terminal_Orientation_Change_deg,Structured_minus_Common,7.281333333333332,0.19395130471178204,90.00000011857048,37.54206935680907,9.147181480258283e-57,6.8960152141330715,7.666651452533592,LMM random intercept Plant_ID,,,,,2.744154444077485e-56,,,
E6,PRIMARY,ordered A->B->C event occurrence,Stimulated minus sham ordered-event occurrence difference,1,,,,2.867971990792438e-10,,,"Exact blocked within-plant randomization, 2 stimulated:1 sham",,,,,,40/40,0/20,20
E6,SECONDARY_DESCRIPTIVE,A_B_Lag_s,Plant-mean A_B_Lag_s among stimulated detected sessions,2.22565,0.040010723891424266,19,,,2.1419065924609595,2.3093934075390403,Plant-mean t interval; descriptive secondary timing/propagation,,,,,,,,
E6,SECONDARY_DESCRIPTIVE,B_C_Lag_s,Plant-mean B_C_Lag_s among stimulated detected sessions,2.677225,0.05413029450219846,19,,,2.563928991534693,2.790521008465307,Plant-mean t interval; descriptive secondary timing/propagation,,,,,,,,
E6,SECONDARY_DESCRIPTIVE,A_C_Lag_s,Plant-mean A_C_Lag_s among stimulated detected sessions,4.902875,0.06814018903585535,19,,,4.760255945276025,5.045494054723974,Plant-mean t interval; descriptive secondary timing/propagation,,,,,,,,
E6,SECONDARY_DESCRIPTIVE,A_B_Propagation_mm_s,Plant-mean A_B_Propagation_mm_s among stimulated detected sessions,10.09425,0.17348186428800585,19,,,9.731148285041607,10.457351714958394,Plant-mean t interval; descriptive secondary timing/propagation,,,,,,,,
E6,SECONDARY_DESCRIPTIVE,B_C_Propagation_mm_s,Plant-mean B_C_Propagation_mm_s among stimulated detected sessions,10.59075,0.2546889937799267,19,,,10.057679809625565,11.123820190374435,Plant-mean t interval; descriptive secondary timing/propagation,,,,,,,,
E6,SECONDARY_DESCRIPTIVE,A_C_Propagation_mm_s,Plant-mean A_C_Propagation_mm_s among stimulated detected sessions,10.302865462343837,0.16228260556613322,19,,,9.963204065281865,10.642526859405809,Plant-mean t interval; descriptive secondary timing/propagation,,,,,,,,
E6,SECONDARY_DESCRIPTIVE,C_to_Movement_Lag_s,Plant-mean C_to_Movement_Lag_s among stimulated detected sessions,8.5806,0.15704105899581267,19,,,8.25190928599201,8.9092907140079909,Plant-mean t interval; descriptive secondary timing/propagation,,,,,,,,
E7,PRIMARY,Integrated_Photosynthetic_Performance,Strong minus Free integrated photosynthetic performance,-74950.97500000008,2541.1842993363503,,-29.49450577810279,2.483299053361004e-17,-80269.73486519579,-69632.21513480437,Plant fixed effects with Plant_ID-clustered SE (pre-specified singular-fit fallback),,,,,,,,
E7,SUPPORTING,Integrated_Photosynthetic_Performance,Sham minus Free integrated photosynthetic performance,-17310.755000000085,2021.1730016316033,,-8.564707220028113,5.997527418105244e-8,-21541.118710535673,-13080.391289464495,Plant fixed effects with Plant_ID-clustered SE (pre-specified singular-fit fallback),,,,,,,,
E7,SECONDARY,Integrated_Terminal_PPFD,Strong minus Free,-35963.30000000005,1079.1011325499321,,-33.32708947771951,2.5421998725251374e-18,-38221.8846275663,-33704.71537243379,Plant FE + clustered SE,,,,,1.5253199235150823e-17,,,
E7,SECONDARY,PhiPSII,Strong minus Free,-0.06320500000000005,0.002691104669910424,,-23.486637553233443,1.6840017586345485e-15,-0.0688375468070531,-0.057572453192947,Plant FE + clustered SE,,,,,5.0520052759036456e-15,,,
E7,SECONDARY,ETR_umol_e_m2_s,Strong minus Free,-8.744000000000012,0.2963844705546586,,-29.50222048961051,2.471239883368487e-17,-9.364339826223985,-8.12366017377604,Plant FE + clustered SE,,,,,1.2356199416842436e-16,,,
E7,SECONDARY,Leaf_Temperature_C,Strong minus Free,0.15850000000003497,0.0024949949994086287,39.999999694376065,63.527181432268655,8.657354419770156e-42,0.15345742700659282,0.16354257299347713,LMM random intercept Plant_ID,,,,,6.925883535816125e-41,,,
E7,SECONDARY,Assimilation_umol_CO2_m2_s,Strong minus Free,-1.7516000000000016,0.1180371686613823,,-14.839393555981362,6.650457706453543e-12,-1.9986546333225255,-1.5045453666774777,Plant FE + clustered SE,,,,,1.3300915412907086e-11,,,
E7,SECONDARY,gs_mol_H2O_m2_s,Strong minus Free,-0.03672999999999992,0.002092461085388157,39.99999609533258,-17.55349251486147,2.137281134278374e-20,-0.04095902161771107,-0.03250097838228878,LMM random intercept Plant_ID,,,,,1.496096793994862e-19,,,
E7,SECONDARY,Transpiration_mmol_H2O_m2_s,Strong minus Free,-0.3480499999999983,0.027044357238027644,39.99999856860863,-12.869597784731146,8.362245055118669e-16,-0.4027086849213558,-0.2933913150786408,LMM random intercept Plant_ID,,,,,3.3448980220474675e-15,,,
